customer_id,loan_amount,interest_rate,loan_term,credit_score,income,debt_to_income,employment_length,home_ownership,loan_purpose,payment_history,missed_payments,account_age,existing_loans,savings_balance,monthly_payment,remaining_balance,default_flag,branch,loan_type
CUST067,920000,10.0,60,662,59500,0.49,2,RENT,BUSINESS,POOR,3,11,3,9300,20000,828000,1,CHENNAI,BUSINESS
CUST068,540000,11.6,36,706,77500,0.39,5,MORTGAGE,PERSONAL,GOOD,0,19,1,20700,18500,480000,0,MUMBAI,PERSONAL
CUST069,1160000,9.3,72,629,49500,0.57,2,RENT,BUSINESS,POOR,4,9,4,6100,18200,1044000,1,KOLKATA,BUSINESS
CUST070,390000,12.6,28,734,88000,0.32,6,OWN,EDUCATION,GOOD,0,29,1,33100,15500,350000,0,DELHI,EDUCATION
CUST071,740000,11.0,45,686,70000,0.42,4,RENT,PERSONAL,FAIR,1,16,2,17600,19100,660000,0,CHENNAI,PERSONAL
CUST072,1220000,9.2,78,619,44500,0.64,1,RENT,BUSINESS,POOR,5,7,5,5000,18400,1098000,1,BANGALORE,BUSINESS
CUST073,470000,12.4,30,721,82500,0.35,5,MORTGAGE,HOME_IMPROVEMENT,GOOD,0,26,1,26600,16300,420000,0,MUMBAI,HOME_IMPROVEMENT
CUST074,800000,10.4,54,670,63000,0.45,3,RENT,PERSONAL,FAIR,2,13,2,13800,19500,720000,0,DELHI,PERSONAL
CUST075,280000,13.2,20,773,100000,0.25,7,OWN,EDUCATION,EXCELLENT,0,38,0,54000,15600,250000,0,BANGALORE,EDUCATION
CUST076,940000,9.7,66,656,57500,0.51,2,RENT,BUSINESS,POOR,3,10,3,9100,19900,846000,1,CHENNAI,BUSINESS
CUST077,560000,11.5,36,709,77000,0.38,5,MORTGAGE,PERSONAL,GOOD,0,21,1,20400,18600,500000,0,MUMBAI,PERSONAL
CUST078,1100000,9.5,72,627,49000,0.58,2,RENT,BUSINESS,POOR,4,8,4,6300,18000,990000,1,KOLKATA,BUSINESS
CUST079,410000,12.0,30,731,81500,0.36,6,OWN,HOME_IMPROVEMENT,GOOD,0,24,1,29200,15900,370000,0,DELHI,HOME_IMPROVEMENT
CUST080,760000,10.8,48,683,68000,0.43,3,RENT,PERSONAL,FAIR,1,17,2,16700,19300,680000,0,CHENNAI,PERSONAL
CUST081,330000,13.1,22,771,99000,0.26,7,OWN,EDUCATION,EXCELLENT,0,36,0,52000,15700,300000,0,BANGALORE,EDUCATION
CUST082,960000,9.6,66,654,56500,0.52,2,RENT,BUSINESS,POOR,3,11,3,8700,19700,864000,1,CHENNAI,BUSINESS
CUST083,580000,11.4,36,711,76500,0.39,5,MORTGAGE,PERSONAL,GOOD,0,20,1,20900,18400,520000,0,MUMBAI,PERSONAL
CUST084,1060000,9.4,72,630,50000,0.56,2,RENT,BUSINESS,POOR,4,9,4,6400,17900,954000,1,KOLKATA,BUSINESS
CUST085,350000,12.7,26,737,87500,0.31,6,OWN,EDUCATION,GOOD,0,31,1,32600,15600,310000,0,DELHI,EDUCATION
CUST086,700000,11.1,45,687,70500,0.41,4,RENT,PERSONAL,FAIR,1,15,2,17300,19200,630000,0,CHENNAI,PERSONAL
CUST087,1240000,9.0,78,615,44000,0.68,1,RENT,BUSINESS,POOR,5,6,4,4600,18800,1116000,1,BANGALORE,BUSINESS
CUST088,430000,12.3,30,726,83500,0.34,5,MORTGAGE,HOME_IMPROVEMENT,GOOD,0,25,1,26900,16200,380000,0,MUMBAI,HOME_IMPROVEMENT
CUST089,820000,10.5,54,675,62500,0.46,3,RENT,PERSONAL,FAIR,2,14,2,13600,19600,740000,0,DELHI,PERSONAL
CUST090,300000,13.5,18,779,107000,0.19,8,OWN,EDUCATION,EXCELLENT,0,42,0,61000,15000,270000,0,BANGALORE,EDUCATION
CUST091,900000,9.8,60,666,60500,0.47,2,RENT,BUSINESS,POOR,3,10,3,9500,20200,810000,1,CHENNAI,BUSINESS
CUST092,540000,11.7,36,713,78000,0.37,5,MORTGAGE,PERSONAL,GOOD,0,19,1,20500,18500,480000,0,MUMBAI,PERSONAL
CUST093,1080000,9.3,72,631,50500,0.55,2,RENT,BUSINESS,POOR,4,8,4,6500,17800,972000,1,KOLKATA,BUSINESS
CUST094,380000,12.9,24,739,88500,0.30,6,OWN,EDUCATION,GOOD,0,33,1,32700,15500,340000,0,DELHI,EDUCATION
CUST095,720000,11.2,45,685,69500,0.42,4,RENT,PERSONAL,FAIR,1,16,2,17400,19100,650000,0,CHENNAI,PERSONAL
CUST096,1200000,9.1,78,618,44500,0.63,1,RENT,BUSINESS,POOR,5,7,5,5100,18300,1080000,1,BANGALORE,BUSINESS
CUST097,460000,12.1,30,722,83000,0.35,5,MORTGAGE,HOME_IMPROVEMENT,GOOD,0,26,1,26400,16300,410000,0,MUMBAI,HOME_IMPROVEMENT
CUST098,780000,10.7,48,681,66500,0.44,3,RENT,PERSONAL,FAIR,2,13,2,16200,19400,700000,0,DELHI,PERSONAL
CUST099,320000,13.0,22,775,101000,0.23,7,OWN,EDUCATION,EXCELLENT,0,35,0,53000,15800,290000,0,BANGALORE,EDUCATION
CUST100,940000,9.7,66,657,57000,0.50,2,RENT,BUSINESS,POOR,3,11,3,8900,19800,846000,1,CHENNAI,BUSINESS
